Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),SOUTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),SOUTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly) 
 01/02  11:00:00,-6.375,107.9375,58.875,-310.4744517392214,-659.6621344085493,-399.7832975406373,-73.5411969828923,-235.5896520119859,-117.50739571141239,-250.8772851810353,-41.08643334849711,1292.1464451521101,-1194.1621476660982,-108.44046643065087,-801.4435329390473,6.513579079735921 
 01/02  12:00:00,-6.0,186.375,273.5625,-323.0269201082888,-3625.8147334862033,-414.0471709185873,-525.0402030538683,-240.4107018412867,-517.5167184614264,-261.0435610973866,-342.1834987308018,1297.1111811991996,-1216.8989145410765,-63.0459136805368,-1689.8336163418383,6.402775042326143 
 01/02  13:00:00,-5.375,177.8125,171.875,-334.7466012686085,-1453.2206906630618,-430.9819953793777,-217.27927703711478,-247.41890128184951,-17.03506728115029,-272.88011703494215,-300.8259460370996,1286.2114997440822,-1236.0095780469303,-0.05821830312026499,345.4467293466,6.3885633332032485 
 01/02  14:00:00,-5.0,89.8125,125.0,-323.04092574589185,-624.5811399197071,-435.0056986389014,73.74805181077593,-246.73830854966874,136.96805327678285,-276.2808059451976,-384.81707564443917,1282.6198042914073,-1248.9834466713373,-2.789058862916539,307.1950542858594,6.377263774299212 
 01/02  15:00:00,-5.625,110.8125,449.25,-300.10532313445196,-2919.680399394645,-436.0241072272329,66.85703205728332,-245.30938037108888,129.29155332302,-277.0080766501156,-1724.2467605263441,1273.7068175493544,-1257.4170886415466,-9.2350717117024,-156.95258078522488,6.4097384965386865 
 01/02  16:00:00,-6.625,31.6875,61.8125,-275.2902356389567,1493.4345738412924,-438.44266618847666,818.4161920474214,-246.29033261932122,625.8011980726892,-275.806303144286,537.9385711784123,1257.4433475870712,-1261.8528188814716,-16.27704606461174,1382.976106168961,6.499339299316656 
 01/02  17:00:00,-7.625,7.0,56.875,-239.25511518397772,1317.406664614814,-433.9750306229911,877.4380971658043,-244.08633019940547,644.6553058320109,-264.0177538219694,458.7102433437854,1250.7910420498,-1261.8096073824554,-64.38325384298099,662.3627890074558,6.558412374080993 
 01/02  18:00:00,-8.0,0.0,0.0,-210.52236592397915,1542.4100477651295,-433.43512620641667,881.0217436299364,-245.24066226791723,638.4110733499908,-251.67874319887903,810.271079293813,1241.9267065902231,-1259.538001342157,-95.86436132057099,343.20119927446945,6.626089984361334 
 01/02  19:00:00,-8.625,0.0,0.0,-194.73530796665904,1607.4549623160567,-435.75832633650657,1052.494089154595,-248.75169716027622,755.2267824721289,-242.42088402066446,859.2191545514904,1235.4217444417582,-1255.7714142344303,-110.42729538787003,199.70973918395606,6.6789132546990855 
 01/02  20:00:00,-10.25,0.0,0.0,-190.30928469112706,1825.8806234854019,-438.4735317768739,1382.0046596403085,-252.77922977003334,975.5752927518602,-236.96944660594872,1015.356823771905,1234.8716768231163,-1251.2501795410888,-116.50368726640832,299.4857971374598,6.6966107176274035 
 01/02  21:00:00,-11.0,0.0,0.0,-193.32243829756857,1551.9969524771388,-439.8121103018854,1162.4667991034362,-256.0442193657839,814.0884518784799,-234.27191508341508,879.690462246251,1242.4973909623077,-1247.393114625684,-123.39348120273445,288.49854953135537,6.663487841807259 
 01/02  22:00:00,-11.0,0.0,0.0,-201.67490979585196,1254.342402996268,-440.5939195157267,907.2190827554055,-258.99062827373405,633.318854927852,-233.85721873820324,715.9205194250392,1257.3756315188562,-1245.8627298997246,-130.0390174923851,248.59382589480765,6.579546563548213 
 01/02  23:00:00,-11.625,0.0,0.0,-213.73300617217808,1414.6259978531862,-441.5805901349874,1107.2475038886157,-262.0175004496578,768.7749874825897,-235.31691488869012,820.531974717824,1276.8083657012062,-1247.8882171815337,-134.38894193892813,184.2263780978351,6.456397910527237 
 01/02  24:00:00,-12.0,0.0,0.0,-227.72843091589687,1429.2410044876087,-442.62380002039504,1153.4419889731266,-264.9420897545855,799.3673708945358,-237.99085783040715,836.1004191037824,1297.7838654636382,-1253.8577099571721,-136.0239945373006,172.9101087224675,6.311567116935006 
 01/03  01:00:00,-12.625,0.0,0.0,-242.48971977842618,1383.715162843677,-443.6434492429177,1129.8133154296129,-267.6929281077623,778.2257571078966,-241.3539347596555,821.4485911346354,1319.4306932340996,-1263.3870233682696,-136.97435474578555,247.6451249051745,6.1521652057455585 
 01/03  02:00:00,-13.125,0.0,0.0,-257.16614211197873,1408.2190427530504,-444.47295038013647,1184.8570231382937,-270.1791361705963,812.9891853033836,-244.922150160633,844.6102730788036,1342.4566742963661,-1275.8517097124277,-139.71876571458364,199.59852460676223,5.976342891841947 
 01/03  03:00:00,-13.45,0.0,0.0,-271.90464206558653,1445.0574375295175,-445.6703434936921,1256.2110405942758,-272.7628149092466,859.8530891546983,-248.84142999873404,873.0196524592527,1365.931017237613,-1290.8149281180033,-141.33181423405676,171.1648136846626,5.790290410758821 
 01/03  04:00:00,-13.85,0.0,0.0,-286.7303172825096,1484.3751251546946,-447.5463537460623,1328.470024435451,-275.6506406725026,907.0014312015045,-253.17104299774272,903.6166984322376,1389.3940519910852,-1307.831729075805,-141.46953605008753,172.66525505473737,5.597967453294963 
 01/03  05:00:00,-14.0,0.0,0.0,-301.32396074015196,1387.0437039670433,-449.97816415495896,1198.6907849583897,-278.7775555659348,821.787049005825,-257.69544713055626,837.3395677204552,1413.3868606336255,-1326.4330131809263,-141.50814741347284,200.8927106930654,5.397860376687977 
 01/03  06:00:00,-14.0,0.0,0.0,-315.46947054986856,1233.0810818232858,-452.85064718582254,1078.0548665383085,-282.0849845621002,729.8684623002222,-262.24632991895703,762.3672405233874,1438.3126237734812,-1346.3337962023845,-142.34675746613468,198.23702394200245,5.188449013769162 
 01/03  07:00:00,-14.0,0.0,0.0,-329.0134943546311,1112.1535163023004,-455.907753451331,1010.6220674172591,-285.41976106332686,665.760584475244,-266.6975701871411,709.4501151680759,1463.7756361402983,-1367.4082229841515,-143.8853006453994,313.3559155905448,4.97247622535936 
 01/03  08:00:00,-15.875,6.75,274.3125,-341.1108124874,-153.12494797541063,-458.2342109647128,1249.0896154892769,-288.1640903552396,-653.8439389031784,-270.55710519890795,867.3020796869046,1489.7276003587158,-1389.5273980014038,-149.2514382214843,192.7355854169167,4.751230723707188 
 01/03  09:00:00,-14.5,45.25,774.0,-353.69326332477095,-4257.625506134244,-462.5433771554679,594.4039421387483,-291.3251498797641,-3079.9923474579837,-275.5695353258469,426.15143186604087,1511.302955923,-1412.514011428705,-141.54284378520862,-1511.226070039838,4.550673283972806 
