Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),SOUTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),SOUTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly) 
 01/02  18:00:00,-8.0,0.0,0.0,-87.30890296174411,237.20930641152341,-125.97510607104505,225.7475423538461,-72.43323895894684,152.26571458132548,-79.92577197943291,153.12308042889796,502.1814094431247,-481.8496586058038,-140.44294216732578,387.70075389797773,13.41662317672142 
 01/02  19:00:00,-8.625,0.0,0.0,-82.7500947865411,245.4743057076685,-123.61927282849575,235.35041835919236,-71.12246019089127,158.60988162395262,-77.34787199819544,158.78694408081918,507.0436132520929,-486.16639104218893,-154.56376096230156,250.617809531692,13.371914875765192 
 01/02  20:00:00,-10.25,0.0,0.0,-80.68254590558806,265.9536014917786,-123.0412985902806,256.83388802719537,-70.9955597065524,172.86642490425498,-76.05902277026416,172.66417000387983,509.67265876382726,-490.93734442063146,-160.89583777802278,349.97261015001527,13.341313474399024 
 01/02  21:00:00,-11.0,0.0,0.0,-79.23294175308325,266.736382750591,-122.3181766371824,257.9523362065569,-70.80772699940127,173.4943433034338,-74.93154375103342,173.48821860547918,513.2092319750006,-495.37024135604884,-168.4088544567739,327.7947950812909,13.30685823442607 
 01/02  22:00:00,-11.0,0.0,0.0,-78.35150468175155,264.23433353838936,-121.53363031127435,255.73058191611895,-70.59565442298032,171.9181830245053,-74.00316496290753,172.06107776386864,517.5034464300788,-499.5445078566381,-175.62330002528856,285.99450910119776,13.26829289827281 
 01/02  23:00:00,-11.625,0.0,0.0,-78.32888569616142,274.44304153063825,-121.15614496895145,266.65232014691645,-70.65175485380922,179.17049554618097,-73.52556259349672,178.9629329892454,521.75809654756,-503.6970651417562,-180.61590802083302,232.4975161380338,13.229893197577 
 01/02  24:00:00,-12.0,0.0,0.0,-79.11441251249471,275.3247854996528,-121.27672420775662,267.85161925127375,-71.03043588676002,179.9206208382867,-73.50875330435667,179.69304487446405,525.7333246199503,-507.8689799937699,-183.2383388753021,220.0595136267051,13.19333040117258 
 01/03  01:00:00,-12.625,0.0,0.0,-80.3052970968626,283.29345363311563,-121.59224848776901,276.10350913257025,-71.53518345973043,185.34061451792044,-73.71895360993,185.17921419502824,529.8073825954727,-512.0114290965212,-185.23089610070747,292.24710843750665,13.15647765387834 
 01/03  02:00:00,-13.125,0.0,0.0,-81.35633503009515,286.4139910859419,-121.62447509948754,279.61414657256535,-71.85657067726595,187.63615106413312,-73.81756182803906,187.37305075033254,534.6773352109919,-516.1427894973017,-188.96924963823875,247.4718209851975,13.114711425516393 
 01/03  03:00:00,-13.45,0.0,0.0,-82.64238039667683,289.93175101487844,-121.80547866099366,283.516505817617,-72.26629258363954,190.1929017995855,-74.05573489021128,189.8256978620081,539.6135763097432,-520.4008409015908,-191.66156329602003,221.4918579807794,13.071975571140584 
 01/03  04:00:00,-13.85,0.0,0.0,-84.31215296410252,293.9230552591084,-122.33091089733398,287.8673796090877,-72.89142070173529,193.04935534641544,-74.546339998429,192.59012846510825,544.2556513589197,-524.8153508956996,-192.98256767295314,224.2598751205918,13.030727330426336 
 01/03  05:00:00,-14.0,0.0,0.0,-86.07935243290044,293.14944867160784,-122.93518795502385,286.9421333410929,-73.56148839238239,192.4150298272511,-75.10795373190098,192.1215292754112,549.0151696839623,-529.3045740712853,-194.2404746397567,248.52227984509318,12.988667812380676 
 01/03  06:00:00,-14.0,0.0,0.0,-87.76745167756278,291.4301091800703,-123.45745646464971,285.624140020865,-74.17252722580099,191.39766236117114,-75.6287056949551,191.23192762507836,554.1196437559095,-533.8583105171319,-196.1831990855321,245.58005696518,12.944294876221164 
 01/03  07:00:00,-14.0,0.0,0.0,-89.36401289473244,294.09778069259863,-123.89751777352967,288.67026538646036,-74.72357612719401,193.32110448014274,-76.10245258995263,193.21146391375817,559.5291480209664,-538.5260100997007,-198.73213553785996,359.37845567075385,12.897726137694287 
 01/03  08:00:00,-15.875,6.75,274.3125,-90.30468981722908,138.58430383420992,-123.69356177201044,310.54217109011773,-74.8549161767599,40.90264127723083,-76.16634765173046,207.76546416729664,566.0747463144692,-543.3691631806619,-205.0270120360068,247.83338567253725,12.843519301448396 
 01/03  09:00:00,-14.5,45.25,774.0,-93.09319887530071,-207.035198842174,-125.38231547961243,231.94571691996686,-76.15521017064498,-139.89466244886256,-77.42692272770711,155.32828535908263,569.8145793986907,-548.5326177739669,-198.22365698074395,-1457.2892988194935,12.80391259343989 
